2026-04-10 10:43:27,433 | INFO | mcp.server.streamable_http_manager | - | Created new transport with session ID: 0694df8bfcc8459ba27a5e1b28277552
2026-04-10 10:43:27,552 | INFO | mcp.server.lowlevel.server | - | Processing request of type CallToolRequest
2026-04-10 10:43:27,616 | INFO | mcp.server.lowlevel.server | - | Processing request of type ListToolsRequest
2026-04-10 10:43:27,686 | INFO | mcp.server.streamable_http | - | Terminating session: 0694df8bfcc8459ba27a5e1b28277552
2026-04-10 10:43:37,239 | INFO | mcp.server.streamable_http_manager | - | Created new transport with session ID: b44f589d25234a8c850612c15371e197
2026-04-10 10:43:37,362 | INFO | mcp.server.lowlevel.server | - | Processing request of type CallToolRequest
2026-04-10 10:43:37,433 | INFO | mcp.server.lowlevel.server | - | Processing request of type ListToolsRequest
2026-04-10 10:43:37,500 | INFO | mcp.server.streamable_http | - | Terminating session: b44f589d25234a8c850612c15371e197
2026-04-10 10:43:46,132 | INFO | mcp.server.streamable_http_manager | - | Created new transport with session ID: 55ccbc6681fb44e5b8af5fbc81f1944a
2026-04-10 10:43:46,255 | INFO | mcp.server.lowlevel.server | - | Processing request of type CallToolRequest
2026-04-10 10:43:46,326 | INFO | mcp.server.lowlevel.server | - | Processing request of type ListToolsRequest
2026-04-10 10:43:46,388 | INFO | mcp.server.streamable_http | - | Terminating session: 55ccbc6681fb44e5b8af5fbc81f1944a
2026-04-10 10:43:55,974 | INFO | mcp.server.streamable_http_manager | - | Created new transport with session ID: 0d2d86b370874af4867f701e55ac3ef0
2026-04-10 10:43:56,097 | INFO | mcp.server.lowlevel.server | - | Processing request of type CallToolRequest
2026-04-10 10:43:56,177 | INFO | mcp.server.lowlevel.server | - | Processing request of type ListToolsRequest
2026-04-10 10:43:56,246 | INFO | mcp.server.streamable_http | - | Terminating session: 0d2d86b370874af4867f701e55ac3ef0
2026-04-10 10:44:01,677 | INFO | mcp.server.streamable_http_manager | - | Created new transport with session ID: abbeba1a874e4e789eef28d498c385be
2026-04-10 10:44:01,909 | INFO | mcp.server.lowlevel.server | - | Processing request of type CallToolRequest
2026-04-10 10:44:01,989 | INFO | mcp.server.lowlevel.server | - | Processing request of type ListToolsRequest
2026-04-10 10:44:02,055 | INFO | mcp.server.streamable_http | - | Terminating session: abbeba1a874e4e789eef28d498c385be
2026-04-10 10:44:15,576 | INFO | mcp.server.streamable_http_manager | - | Created new transport with session ID: 090eed64040343239ce0be99eb178754
2026-04-10 10:44:15,829 | INFO | mcp.server.lowlevel.server | - | Processing request of type CallToolRequest
2026-04-10 10:44:15,965 | INFO | mcp.server.lowlevel.server | - | Processing request of type ListToolsRequest
2026-04-10 10:44:16,037 | INFO | mcp.server.streamable_http | - | Terminating session: 090eed64040343239ce0be99eb178754
2026-04-10 10:44:39,416 | INFO | mcp.server.streamable_http_manager | - | Created new transport with session ID: a08825e6dfcb4e43871421135fb791ba
2026-04-10 10:44:39,538 | INFO | mcp.server.lowlevel.server | - | Processing request of type CallToolRequest
2026-04-10 10:44:39,727 | INFO | mcp.server.lowlevel.server | - | Processing request of type ListToolsRequest
2026-04-10 10:44:39,797 | INFO | mcp.server.streamable_http | - | Terminating session: a08825e6dfcb4e43871421135fb791ba
2026-04-10 10:45:05,457 | INFO | mcp.server.streamable_http_manager | - | Created new transport with session ID: 57e6bfd8ae5646968b7b35fae748fac5
2026-04-10 10:45:05,583 | INFO | mcp.server.lowlevel.server | - | Processing request of type CallToolRequest
2026-04-10 10:45:05,771 | INFO | mcp.server.lowlevel.server | - | Processing request of type ListToolsRequest
2026-04-10 10:45:05,838 | INFO | mcp.server.streamable_http | - | Terminating session: 57e6bfd8ae5646968b7b35fae748fac5
2026-04-10 10:45:09,837 | INFO | mcp.server.streamable_http_manager | - | Created new transport with session ID: 158b8baf57774d3aac9429b766c2f179
2026-04-10 10:45:09,963 | INFO | mcp.server.lowlevel.server | - | Processing request of type CallToolRequest
2026-04-10 10:45:10,033 | INFO | mcp.server.lowlevel.server | - | Processing request of type ListToolsRequest
2026-04-10 10:45:10,107 | INFO | mcp.server.streamable_http | - | Terminating session: 158b8baf57774d3aac9429b766c2f179
2026-04-10 10:45:20,896 | INFO | mcp.server.streamable_http_manager | - | Created new transport with session ID: 4a14734ebeb54754a40af9da800209ee
2026-04-10 10:45:21,011 | INFO | mcp.server.lowlevel.server | - | Processing request of type CallToolRequest
2026-04-10 10:45:21,080 | INFO | mcp.server.lowlevel.server | - | Processing request of type ListToolsRequest
